Date,leveled log 10yr Bond
1991-08-14,-0.051315445442780216
1991-08-15,-0.04856116563768387
1991-08-16,-0.04836116563768389
1991-08-19,-0.04943748999728825
1991-08-20,-0.05179503614840497
1991-08-21,-0.05287626630445352
1991-08-22,-0.05524366180969942
1991-08-23,-0.04227209613021188
1991-08-26,-0.03827221822043736
1991-08-27,-0.04060386514221692
1991-08-28,-0.04931544544277999
1991-08-29,-0.059398312398363906
1991-08-30,-0.04891544544278004
1991-09-03,-0.04999503614840517
1991-09-04,-0.04979503614840519
1991-09-05,-0.04703748999728807
1991-09-06,-0.055817665804872796
1991-09-09,-0.05949113740066947
1991-09-10,-0.05929113740066949
1991-09-11,-0.05779831239836408
1991-09-12,-0.06668338462083545
1991-09-13,-0.06778801624749997
1991-09-16,-0.07151215470363459
1991-09-17,-0.07262363030144492
1991-09-18,-0.07242363030144494
1991-09-19,-0.07353682812640505
1991-09-20,-0.07860693255064222
1991-09-23,-0.08105243673906637
1991-09-24,-0.07952880980855825
1991-09-25,-0.07668680034571951
1991-09-26,-0.0791288098085583
1991-09-27,-0.08823120247087157
1991-09-30,-0.09070500085527389
1991-10-01,-0.0931859676085316
1991-10-02,-0.09030500085527393
1991-10-03,-0.09010500085527395
1991-10-04,-0.10067226503988946
1991-10-07,-0.09911999978987573
1991-10-08,-0.09487414127033222
1991-10-09,-0.08396453422395656
1991-10-10,-0.07448680034571975
1991-10-11,-0.08623120247087179
1991-10-14,-0.08803588072324997
1991-10-15,-0.08984458578433063
1991-10-16,-0.09098596760853139
1991-10-17,-0.07745243673906632
1991-10-18,-0.07990495818819765
1991-10-21,-0.067823630301445
1991-10-22,-0.06108338462083518
1991-10-23,-0.05827921648244727
1991-10-24,-0.06329435216155543
1991-10-25,-0.05918045284041895
1991-10-28,-0.06289435216155548
1991-10-29,-0.08116453422395642
1991-10-30,-0.08496720801361413
1991-10-31,-0.08610500085527395
1991-11-01,-0.08456720801361417
1991-11-04,-0.08169697945773535
1991-11-05,-0.07352880980855847
1991-11-06,-0.07996453422395655
1991-11-07,-0.09047414127033226
1991-11-08,-0.09296956069200446
1991-11-11,-0.09547226503988959
1991-11-12,-0.0979822937987549
1991-11-13,-0.09236956069200408
1991-11-14,-0.10029968677525458
1991-11-15,-0.10282448410143963
1991-11-18,-0.10262448410143965
1991-11-19,-0.09698229379875456
1991-11-20,-0.09542636138761873
1991-11-21,-0.09387226503988932
1991-11-22,-0.08692915115499922
1991-11-25,-0.08538596760853157
1991-11-26,-0.08922094282071091
1991-11-27,-0.08902094282071094
1991-11-29,-0.09422636138761886
1991-12-02,-0.10218967202677987
1991-12-03,-0.10746913779140543
1991-12-04,-0.12249434538847104
1991-12-05,-0.11673104870314233
1991-12-06,-0.10962017116329537
1991-12-09,-0.11494504709526532
1991-12-10,-0.11613104870314239
1991-12-11,-0.11454504709526536
1991-12-12,-0.11850882826704434
1991-12-13,-0.11414504709526496
1991-12-16,-0.11533104870314204
1991-12-17,-0.11930061693986693
1991-12-18,-0.11770882826704443
1991-12-19,-0.12869775618485035
1991-12-20,-0.14838477522756732
1991-12-23,-0.1611813480547477
1991-12-24,-0.16098134805474773
1991-12-26,-0.16515134772586615
1991-12-27,-0.1693405281446292
1991-12-30,-0.17797710994512728
1991-12-31,-0.18520104901640955
1992-01-02,-0.17462289804769582
1992-01-03,-0.16415134772586626
1992-01-06,-0.1683405281446293
1992-01-07,-0.1769771099451274
1992-01-08,-0.17529891307581646
1992-01-09,-0.17214905842939543
1992-01-10,-0.16315134772586637
1992-01-13,-0.15278423037042188
1992-01-14,-0.13681329417742627
1992-01-15,-0.1337723831758224
1992-01-16,-0.1222887655737952
1992-01-17,-0.12771465945596372
1992-01-20,-0.13175494849484903
1992-01-21,-0.13581329417742638
1992-01-22,-0.12711465945596379
1992-01-23,-0.11151897397799027
1992-01-24,-0.10439853113341657
1992-01-27,-0.10557879360237488
1992-01-28,-0.1164900190274456
1992-01-29,-0.10379853113341664
1992-01-30,-0.09535672623831282
1992-01-31,-0.09515672623831284
1992-02-03,-0.0881400672592152
1992-02-04,-0.09749645397943318
1992-02-05,-0.10833104870314236
1992-02-06,-0.10951897397799049
1992-02-07,-0.10931897397799051
1992-02-10,-0.10773104870314199
1992-02-11,-0.10476096382932631
1992-02-12,-0.09492565184565427
1992-02-13,-0.0811199997898755
1992-02-14,-0.07956956069200416
1992-02-18,-0.0713050008552738
1992-02-19,-0.07782094282071084
1992-02-20,-0.07896956069200423
1992-02-21,-0.07338596760853155
1992-02-24,-0.07050500085527389
1992-02-25,-0.07432915115499927
1992-02-26,-0.08902448410143982
1992-02-27,-0.08609968677525481
1992-02-28,-0.09684370845457213
1992-03-02,-0.08162636138761892
1992-03-03,-0.07467414127033223
1992-03-04,-0.07447414127033225
1992-03-05,-0.06356453422395658
1992-03-06,-0.06736720801361429
1992-03-09,-0.07522094282071112
1992-03-10,-0.07367414127033234
1992-03-11,-0.06276453422395623
1992-03-12,-0.048023630301444964
1992-03-13,-0.036081812424761495
1992-03-16,-0.03847921648244723
1992-03-17,-0.04742363030144503
1992-03-18,-0.04722363030144505
1992-03-19,-0.053606932550642306
1992-03-20,-0.04420239682157101
1992-03-23,-0.04662363030144512
1992-03-24,-0.05830495818819781
1992-03-25,-0.05810495818819783
1992-03-26,-0.052606932550642416
1992-03-27,-0.05637781798013508
1992-03-30,-0.0561778179801351
1992-03-31,-0.055977817980135125
1992-04-01,-0.06644458578433055
1992-04-02,-0.06490500085527406
1992-04-03,-0.0714209428207111
1992-04-06,-0.07256956069200449
1992-04-07,-0.07236956069200451
1992-04-08,-0.06812915115499907
1992-04-09,-0.08009968677525459
1992-04-10,-0.07718229379875452
1992-04-13,-0.08242448410143965
1992-04-14,-0.07949968677525465
1992-04-15,-0.07658229379875459
1992-04-16,-0.06558596760853153
1992-04-20,-0.04676840859246134
1992-04-21,-0.04788680034571957
1992-04-22,-0.04900693255064237
1992-04-23,-0.04616840859246141
1992-04-24,-0.05125243673906654
1992-04-27,-0.04445175270771484
1992-04-28,-0.048206932550642456
1992-04-29,-0.044051752707714886
1992-04-30,-0.04253682812640536
1992-05-01,-0.048928809808558515
1992-05-04,-0.04608680034571977
1992-05-05,-0.04852880980855856
1992-05-06,-0.06164458578433063
1992-05-07,-0.05743120247087141
1992-05-08,-0.0679695606920041
1992-05-11,-0.06911999978987549
1992-05-12,-0.07434006725921494
1992-05-13,-0.07686115737357557
1992-05-14,-0.0766611573735756
1992-05-15,-0.08466913779140528
1992-05-18,-0.0844691377914053
1992-05-19,-0.09531897397799027
1992-05-20,-0.08819853113341658
1992-05-21,-0.06887226503988941
1992-05-22,-0.0740996867752548
1992-05-26,-0.05904458578433047
1992-05-27,-0.06152915115499935
1992-05-28,-0.07214006725921518
1992-05-29,-0.07602448410143992
1992-06-01,-0.06767226503988955
1992-06-02,-0.07289968677525493
1992-06-03,-0.07406115737357588
1992-06-04,-0.0738611573735759
1992-06-05,-0.07775672623831253
1992-06-08,-0.07755672623831256
1992-06-09,-0.07462448410143963
1992-06-10,-0.07169968677525462
1992-06-11,-0.07422448410143967
1992-06-12,-0.07949645397943295
1992-06-15,-0.08066913779140528
1992-06-16,-0.08597879360237481
1992-06-17,-0.08716096382932648
1992-06-18,-0.09250882826704454
1992-06-19,-0.08537879360237488
1992-06-22,-0.0851787936023749
1992-06-23,-0.08359853113341664
1992-06-24,-0.09031897397799038
1992-06-25,-0.09848722364850704
1992-06-26,-0.09688764329408373
1992-06-29,-0.1008922745761156
1992-06-30,-0.0978872236485071
1992-07-01,-0.10330521595273034
1992-07-02,-0.12734018679818826
1992-07-06,-0.13147858839678594
1992-07-07,-0.1356358937657418
1992-07-08,-0.12963036222042112
1992-07-09,-0.12943036222042115
1992-07-10,-0.12634018679818793
1992-07-13,-0.1203847752275673
1992-07-14,-0.12018477522756732
1992-07-15,-0.1300785883967861
1992-07-16,-0.13423589376574196
1992-07-17,-0.12967858839678614
1992-07-20,-0.12947858839678617
1992-07-21,-0.13072891497443284
1992-07-22,-0.1363513477258662
1992-07-23,-0.1553118454649418
1992-07-24,-0.15362485634336354
1992-07-27,-0.159386125859863
1992-07-28,-0.16819519580222897
1992-07-29,-0.17253035096762037
1992-07-30,-0.15878612585986307
1992-07-31,-0.15411184546494194
1992-08-03,-0.15391184546494197
1992-08-04,-0.162680515447702
1992-08-05,-0.16548803651165733
1992-08-06,-0.16378314533223692
1992-08-07,-0.17568616750348065
1992-08-10,-0.18312562406143829
1992-08-11,-0.1859978230984085
1992-08-12,-0.18887948963581658
1992-08-13,-0.17793495035283935
1992-08-14,-0.18079305671166024
1992-08-17,-0.17600939704400242
1992-08-18,-0.18807948963581667
1992-08-19,-0.18942389148719085
1992-08-20,-0.19077068220548954
1992-08-21,-0.17979305671166035
1992-08-24,-0.15688201245144584
1992-08-25,-0.14922485634336358
1992-08-26,-0.15648201245144588
1992-08-27,-0.16228803651165769
1992-08-28,-0.16359519580222903
1992-08-31,-0.1649046300510828
1992-09-01,-0.17380939704400222
1992-09-02,-0.1766628345308925
1992-09-03,-0.1764628345308925
1992-09-04,-0.19790200963437354
1992-09-08,-0.21503892928765067
1992-09-09,-0.21166432344687802
1992-09-10,-0.21146432344687804
1992-09-11,-0.20180053041592783
1992-09-14,-0.2094807918412338
1992-09-15,-0.19670200963437368
1992-09-16,-0.19494072906742121
1992-09-17,-0.19630200963437372
1992-09-18,-0.19454072906742126
1992-09-21,-0.1927818822981302
1992-09-22,-0.1801978230984087
1992-09-23,-0.1738628345308928
1992-09-24,-0.1828794896358168
1992-09-25,-0.19354072906742137
1992-09-28,-0.19960053041592807
1992-09-29,-0.1994005304159281
1992-09-30,-0.19920053041592767
1992-10-01,-0.22122366720063802
1992-10-02,-0.21621981488799258
1992-10-05,-0.2192198176186635
1992-10-06,-0.20945036660251293
1992-10-07,-0.18417068220548938
1992-10-08,-0.19174072906742112
1992-10-09,-0.17452562406143834
1992-10-12,-0.1750927894231915
1992-10-13,-0.175660543779522
1992-10-14,-0.17546054377952203
1992-10-15,-0.1721930567116603
1992-10-16,-0.16133035096762027
1992-10-19,-0.14758612585986297
1992-10-20,-0.12229255826220609
1992-10-21,-0.130877387817939
1992-10-22,-0.13954007507578448
1992-10-23,-0.12607532641730135
1992-10-26,-0.12587532641730137
1992-10-27,-0.13302289804769551
1992-10-28,-0.13577710994512748
1992-10-29,-0.1430010490164093
1992-10-30,-0.12947738781793872
1992-11-02,-0.11758134805474763
1992-11-03,-0.11883589376574188
1992-11-04,-0.11572891497443272
1992-11-05,-0.11843589376574193
1992-11-06,-0.10378477522756735
1992-11-09,-0.09928985094468668
1992-11-10,-0.11203036222042129
1992-11-11,-0.12055134772586618
1992-11-12,-0.12914905842939528
1992-11-13,-0.12454052814462924
1992-11-16,-0.11267858839678624
1992-11-17,-0.11829255826220608
1992-11-18,-0.12982289804769587
1992-11-19,-0.12520787983857917
1992-11-20,-0.12061226836554106
1992-11-23,-0.11749255826220617
1992-11-24,-0.12314052814462939
1992-11-25,-0.12001226836554069
1992-11-27,-0.10674018679818786
1992-11-30,-0.10365834042329891
1992-12-01,-0.10489822548128669
1992-12-02,-0.10614018679818793
1992-12-03,-0.1088303622204212
1992-12-04,-0.11881226836554082
1992-12-07,-0.1274228980476957
1992-12-08,-0.1346248563433634
1992-12-09,-0.12997710994512723
1992-12-10,-0.1282989130758163
1992-12-11,-0.12367738781793891
1992-12-14,-0.11907532641730123
1992-12-15,-0.11887532641730125
1992-12-16,-0.1274989130758164
1992-12-17,-0.12729891307581642
1992-12-18,-0.1285771099451274
1992-12-21,-0.13580104901640966
1992-12-22,-0.14458314533223726
1992-12-23,-0.13988201245144594
1992-12-24,-0.13818612585986312
1992-12-28,-0.13351184546494155
1992-12-29,-0.13778612585986272
1992-12-30,-0.13908201245144558
1992-12-31,-0.13589247360307932
1993-01-04,-0.1507303509676201
1993-01-05,-0.1490163461364049
1993-01-06,-0.14579519580222877
1993-01-07,-0.1261771099451272
1993-01-08,-0.12745749511556137
1993-01-11,-0.1332010490164095
1993-01-12,-0.13151184546494177
1993-01-13,-0.13280104901640954
1993-01-14,-0.14158314533223715
1993-01-15,-0.1489303509676203
1993-01-18,-0.14948821383072208
1993-01-19,-0.15004665148558427
1993-01-20,-0.14681634613640515
1993-01-21,-0.1481303509676204
1993-01-22,-0.15248616750348098
1993-01-25,-0.16607948963581642
1993-01-26,-0.1627978230984084
1993-01-27,-0.16567948963581647
1993-01-28,-0.17167145988373744
1993-01-29,-0.17926573161055637
1993-02-01,-0.18063190264330142
1993-02-02,-0.16797068220548939
1993-02-03,-0.16931986919231878
1993-02-04,-0.17846573161055646
1993-02-05,-0.1892807918412338
1993-02-08,-0.18120053041592787
1993-02-09,-0.17474072906742122
1993-02-10,-0.17610200963437372
1993-02-11,-0.18060053041592794
1993-02-12,-0.1835451870953999
1993-02-16,-0.18492123155086548
1993-02-17,-0.19423001951989272
1993-02-18,-0.21170116208270362
1993-02-19,-0.21474791818157346
1993-02-22,-0.22435191827819456
1993-02-23,-0.2524635511040858
1993-02-24,-0.23717525145288354
1993-02-25,-0.2336529892609056
1993-02-26,-0.23345298926090563
1993-03-01,-0.2482908666254462
1993-03-02,-0.2464087804424615
1993-03-03,-0.2580432380894644
1993-03-04,-0.2663829996375988
1993-03-05,-0.2542476490883261
1993-03-08,-0.2625583387562349
1993-03-09,-0.252154168581993
1993-03-10,-0.24185307259548927
1993-03-11,-0.24332951892274157
1993-03-12,-0.21827322681649597
1993-03-15,-0.20830116208270355
1993-03-16,-0.226090199918777
1993-03-17,-0.2325127406792704
